Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C26, C27, C28",0603,4,0.1uF,C14663
"C102, C23, C25",0603,3,100n,C14663
"C21, C24, C29",0603,3,1u,C15849
C22,0805,1,10u,C15850
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,12,D,C95872
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112",0603,12,LED_RED,C434419
"D113, D114",D_SMA,2,SMAJ12A,C89613
D116,D_SOD-523,1,TVS 3.3V,C2841409
D31,D_SOD-123,1,MBR0530,C77336
"H101, H102, H103, H104",MountingHole_4.5mm,4,MountingHole,
"H105, H106, H107, H108",MountingHole_2.5mm,4,MountingHole,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",BOOMELE-2510-3A_1x03_P2.54mm_Vertical,12,Valve Conn,C509148
"J101, J21",AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,Power Input,C2913282
"J102, J103, J104, J105",PinHeader_1x03_P2.54mm_Vertical,4,Servo,C7429377
"J22, J25, J26",PINREX-744-81-04TW00 _1x04_P2.54mm_Vertical,3,I2C INTERCONNECT,C402777
J23,PinHeader_1x04_P2.54mm_Vertical,1,I2C OLED,C402777
J24,PinHeader_2x06_P2.54mm_Vertical,1,POLOLU CONVERTER,
"J27, J28",PinHeader_1x12_P2.54mm_Vertical,2,A2541WV-12P,C1121851
"JP101, JP103, JP104",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_2_Open,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,12,AO3400A,C347475
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7, R8, R9",0603,12,10.2R,C2933129
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112",0603,12,130R,C22796
"R113, R56, R57",0603,3,10k,C25804
"R27, R28, R29, R44, R46, R49, R51, R52, R53",0603,9,100k,C14675
"R54, R55",0603,2,5.1k,C23186
"SW1, SW2, SW3",SW_TS_1101_C_W,3,SW_MEC_5G,C318938
SW22,SW_DIP_SPSTx06_Slide_KingTek_DSHP06TS_W7.62mm_P1.27mm,1,CONFIG SWITCH,C40737
"U101, U103, U104",SOT-666,3,USBLC6-2P6,C2827693
U102,SO-8_3.9x4.9mm_P1.27mm,1,CC6920B,
U21,SOT-223-3_TabPin2,1,TLV1117-50IDCYR,C15512
U22,SOT-353_SC-70-5,1,SN74LVC1G07QDCKTQ1,C171458
U23,TSSOP-24_4.4x7.8mm_P0.65mm,1,PCA9539PW_118,C2687996
U25,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,C2678753
U26,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,C2829074
U27,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,C478483
