Designator,Mid X,Mid Y,Rotation,Layer
C102,112.795,-98.65,270.0,top
C21,100.685,-92.925,0.0,top
C22,100.349999,-97.55,270.0,top
C23,183.165,-97.955,270.0,top
C24,105.595,-134.764998,270.0,top
C25,159.189466,-96.715001,180.0,top
D1,151.135,-79.775,180.0,top
D10,185.748,-123.025,0.0,top
D101,150.345,-85.885,0.0,top
D102,160.805,-85.885,0.0,top
D103,172.115,-85.885,0.0,top
D104,183.175,-85.885,0.0,top
D105,194.735,-85.885,0.0,top
D106,205.545,-85.885,0.0,top
D107,153.985,-116.805,180.0,top
D108,165.165,-116.805,180.0,top
D109,175.165,-116.805,180.0,top
D11,196.734,-123.025,0.0,top
D110,186.915,-116.805,180.0,top
D111,197.405,-116.805,180.0,top
D112,208.63636,-116.805,180.0,top
D113,83.65,-87.429999,90.0,top
D114,210.825,-100.13,90.0,top
D115,120.22,-98.995,0.0,top
D116,101.64,-114.015,180.0,top
D117,120.245,-96.01,0.0,top
D118,120.345,-93.05,0.0,top
D119,109.275,-94.8,0.0,top
D12,207.72,-123.025,0.0,top
D120,109.275,-98.075,0.0,top
D2,162.016,-79.775,180.0,top
D3,173.147,-79.775,180.0,top
D31,88.935001,-96.08,90.0,top
D4,184.028,-79.775,180.0,top
D5,195.159,-79.775,180.0,top
D6,206.04,-79.775,180.0,top
D7,151.79,-123.025,0.0,top
D8,163.276,-123.025,0.0,top
D9,174.262,-123.025,0.0,top
J1,151.91,-74.425,180.0,top
J10,184.89,-128.27,0.0,top
J101,222.05,-100.0,270.0,top
J102,137.34,-101.300003,0.0,top
J103,137.340001,-111.960002,0.0,top
J104,137.340001,-122.620002,0.0,top
J105,137.340001,-133.280001,0.0,top
J11,195.89,-128.27,0.0,top
J114,123.565,-130.9,180.0,top
J115,108.325,-130.9,180.0,top
J12,206.89,-128.27,0.0,top
J2,162.91,-74.425,180.0,top
J21,78.1,-100.0,90.0,top
J22,81.82,-124.95,270.0,top
J23,101.395,-65.195,90.0,top
J24,140.39,-76.805,180.0,top
J25,202.115,-101.165,270.0,top
J26,81.945,-75.0,270.0,top
J27,109.7,-106.45,270.0,top
J28,109.7,-108.99,270.0,top
J3,173.91,-74.425,180.0,top
J4,184.91,-74.425,180.0,top
J5,195.91,-74.425,180.0,top
J6,206.91,-74.425,180.0,top
J7,151.89,-128.27,0.0,top
J8,162.89,-128.27,0.0,top
J9,173.89,-128.27,0.0,top
Q1,150.745,-83.285,0.0,top
Q10,185.635,-119.385,180.0,top
Q101,173.325,-107.220001,180.0,top
Q11,196.574999,-119.385,180.0,top
Q12,208.275001,-119.385,180.0,top
Q2,161.495,-83.285,0.0,top
Q3,172.495,-83.285,0.0,top
Q4,184.04533,-83.285,0.0,top
Q5,195.29533,-83.285,0.0,top
Q6,205.435331,-83.285,0.0,top
Q7,152.995,-119.385,180.0,top
Q8,163.885,-119.385,180.0,top
Q9,174.385,-119.385,180.0,top
R1,153.505,-83.285,90.0,top
R10,182.795,-119.385,270.0,top
R101,153.545,-85.885,180.0,top
R102,164.007,-85.885,180.0,top
R103,175.309,-85.885,180.0,top
R104,186.861,-85.885,180.0,top
R105,197.987,-85.885,180.0,top
R106,208.684999,-85.885,180.0,top
R107,150.715,-116.805,0.0,top
R108,161.715,-116.805,0.0,top
R109,171.965,-116.805,0.0,top
R11,193.885,-119.385,270.0,top
R110,183.715,-116.805,0.0,top
R111,194.225,-116.805,0.0,top
R112,205.475,-116.805,0.0,top
R114,124.23,-98.955,180.0,top
R115,124.18,-96.115,180.0,top
R116,124.18,-93.2,180.0,top
R12,205.275,-119.385,270.0,top
R2,164.225,-83.285,90.0,top
R27,195.415,-102.755,90.0,top
R28,195.425,-99.255,90.0,top
R29,176.765,-107.775,0.0,top
R3,175.245,-83.285,90.0,top
R4,186.91533,-83.285,90.0,top
R44,91.655001,-136.245,90.0,top
R46,91.665,-130.245,90.0,top
R49,91.525,-123.395,90.0,top
R5,197.94533,-83.285,90.0,top
R51,148.415001,-91.939465,270.0,top
R52,151.425,-91.939465,270.0,top
R53,154.405,-91.939465,270.0,top
R56,101.345,-68.655,270.0,top
R57,104.535,-68.655,270.0,top
R6,208.415331,-83.285,90.0,top
R7,150.235,-119.385,270.0,top
R8,161.145,-119.385,270.0,top
R9,171.725,-119.385,270.0,top
SW1,97.635,-136.295001,180.0,top
SW2,97.645,-129.915,180.0,top
SW22,174.065,-101.035,90.0,top
SW3,97.645,-123.515,180.0,top
U101,86.63,-78.734999,90.0,top
U102,113.435,-95.32,180.0,top
U103,86.485,-128.935,90.0,top
U104,196.365,-106.19,0.0,top
U21,94.795,-96.725,0.0,top
U23,188.9086,-100.7224,0.0,top
U25,153.334998,-101.189465,270.0,top
